# id,name,ra_deg,dec_deg,mag
HIP32349,Sirius,101.2875,-16.7161,-1.46
HIP30438,Canopus,95.9879,-52.6957,-0.74
HIP69673,Arcturus,213.9153,19.1825,-0.05
